                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98691,                0.88975,                   1.16,                 0.9477,                0.97175,                0.98946,                0.79989,                0.80123,                0.77407,                 1.0832,             0.00048475,             0.00048475,             0.00048475
                     36,                 1.0032,                0.90771,                 1.2296,                0.92371,                0.95848,                0.98671,                0.79953,                0.76607,                0.83294,                 1.0483,             0.00048062,             0.00048062,             0.00048062
                     37,                0.93828,                0.85625,                 1.1249,                0.97905,                0.99123,                0.99265,                0.80621,                0.75154,                0.61721,                 1.0527,              0.0004765,              0.0004765,              0.0004765
                     38,                0.87137,                0.77608,                 1.1495,                0.98565,                0.98081,                0.99363,                0.82438,                0.74578,                0.58888,                 1.0381,             0.00047237,             0.00047237,             0.00047237
                     39,                  0.897,                0.75744,                 1.0984,                0.97923,                  0.983,                0.99222,                0.80874,                0.79774,                0.61628,                 1.0768,             0.00046825,             0.00046825,             0.00046825
                     40,                0.95672,                0.80142,                 1.1305,                0.98143,                0.98507,                0.99133,                0.81057,                0.78255,                0.64863,                 1.0575,             0.00046413,             0.00046413,             0.00046413
                     41,                0.96667,                0.84465,                 1.1656,                0.81349,                0.87922,                 0.9759,                 0.7966,                0.76883,                0.95168,                 1.0339,                0.00046,                0.00046,                0.00046
                     42,                0.89734,                0.80558,                 1.0857,                0.97895,                 0.9903,                0.99362,                0.82658,                0.74242,                0.69873,                 1.0252,             0.00045588,             0.00045588,             0.00045588
                     43,                0.86101,                 0.7474,                 1.0819,                0.98335,                0.99055,                 0.9927,                 0.8341,                0.69476,                0.65448,                 1.0041,             0.00045175,             0.00045175,             0.00045175
                     44,                0.85162,                0.77901,                 1.0723,                0.98434,                 0.9854,                0.99015,                0.80728,                 0.7637,                0.62167,                 1.0365,             0.00044763,             0.00044763,             0.00044763
                     45,                0.86502,                0.75512,                    1.1,                0.97302,                0.99022,                 0.9904,                  0.807,                0.75569,                 0.6263,                  1.035,              0.0004435,              0.0004435,              0.0004435
                     46,                0.91564,                0.76832,                 1.1028,                0.96855,                0.97987,                0.99194,                0.82207,                0.74973,                 0.6899,                 1.0393,             0.00043937,             0.00043937,             0.00043937
                     47,                0.91251,                0.78176,                 1.1108,                0.96744,                0.96981,                0.99377,                0.83489,                0.71769,                0.69779,                 1.0039,             0.00043525,             0.00043525,             0.00043525
                     48,                0.87703,                0.76478,                 1.0613,                0.94869,                 0.9764,                0.99397,                 0.8335,                0.70583,                0.68842,                0.99517,             0.00043112,             0.00043112,             0.00043112
                     49,                0.92832,                0.82362,                 1.0916,                0.92058,                0.95675,                0.99346,                0.83149,                 0.7038,                0.74586,                 1.0077,               0.000427,               0.000427,               0.000427
                     50,                0.82543,                0.73549,                 1.0601,                0.98796,                0.98856,                0.99398,                 0.8269,                0.69594,                0.56721,                 1.0014,             0.00042288,             0.00042288,             0.00042288
                     51,                0.88098,                0.74273,                 1.0925,                0.95947,                0.96616,                 0.9934,                0.82345,                0.73667,                 0.7345,                 1.0142,             0.00041875,             0.00041875,             0.00041875
                     52,                0.84662,                0.74275,                 1.0578,                0.97083,                0.96663,                0.99358,                0.82841,                0.70405,                0.66928,                0.99692,             0.00041462,             0.00041462,             0.00041462
                     53,                0.91203,                0.73756,                 1.0848,                0.94863,                0.97949,                0.99269,                0.82112,                0.70547,                0.64606,                 0.9893,              0.0004105,              0.0004105,              0.0004105
                     54,                0.85294,                0.69886,                 1.0562,                0.97018,                0.99277,                 0.9933,                0.81922,                 0.7205,                0.58645,                  1.007,             0.00040638,             0.00040638,             0.00040638
                     55,                 0.8304,                0.72732,                 1.0736,                0.93401,                0.96729,                0.99077,                0.83086,                0.67786,                0.65293,                0.98564,             0.00040225,             0.00040225,             0.00040225
                     56,                0.81036,                0.74294,                 1.0345,                0.97255,                0.98608,                0.99202,                 0.8311,                0.69446,                0.64033,                 0.9946,             0.00039813,             0.00039813,             0.00039813
                     57,                0.80815,                0.68225,                 1.0301,                0.91079,                 0.9571,                   0.99,                0.82975,                0.68199,                0.68923,                0.97972,               0.000394,               0.000394,               0.000394
                     58,                0.77057,                0.67701,                 1.0264,                0.98308,                0.99558,                0.99422,                0.83946,                0.69851,                0.53218,                 0.9868,             0.00038988,             0.00038988,             0.00038988
                     59,                0.77172,                0.61704,                 1.0069,                0.98332,                0.99685,                0.99415,                0.83534,                0.69151,                0.52233,                0.99052,             0.00038575,             0.00038575,             0.00038575
                     60,                0.74244,                0.61408,                 1.0205,                0.98821,                0.98191,                 0.9941,                0.83655,                0.68029,                0.51304,                 0.9809,             0.00038163,             0.00038163,             0.00038163
                     61,                0.79647,                0.66926,                 1.0288,                0.97656,                0.98071,                0.99365,                0.84382,                0.66263,                0.54614,                0.97515,              0.0003775,              0.0003775,              0.0003775
                     62,                0.80051,                0.61528,                 1.0123,                0.98612,                0.98885,                0.99419,                0.85054,                0.65618,                 0.5269,                0.96303,             0.00037337,             0.00037337,             0.00037337
                     63,                0.81111,                 0.6578,                 1.0287,                0.98716,                0.99221,                0.99456,                0.85366,                0.63764,                0.51128,                0.95779,             0.00036925,             0.00036925,             0.00036925
                     64,                0.77913,                0.63322,                 1.0261,                0.99285,                0.99176,                0.99472,                0.84282,                0.66069,                0.53608,                0.96991,             0.00036513,             0.00036513,             0.00036513
                     65,                0.78707,                0.63703,                 1.0285,                0.97983,                0.98876,                0.99428,                0.84583,                0.68256,                0.52056,                0.97768,               0.000361,               0.000361,               0.000361
                     66,                0.74794,                0.62629,                0.97878,                0.97669,                0.98847,                0.99441,                0.83899,                0.67072,                0.51724,                0.96979,             0.00035687,             0.00035687,             0.00035687
                     67,                0.78237,                0.63159,                 1.0272,                0.97923,                0.99226,                0.99437,                0.84492,                0.69223,                0.55377,                0.97144,             0.00035275,             0.00035275,             0.00035275
                     68,                0.76203,                0.66696,                 1.0041,                0.97346,                0.99128,                0.99456,                0.86091,                0.63526,                0.65942,                0.95152,             0.00034862,             0.00034862,             0.00034862
                     69,                0.72616,                0.58661,                0.98737,                0.98525,                 0.9914,                0.99342,                0.85093,                0.62386,                0.48362,                0.94836,              0.0003445,              0.0003445,              0.0003445
                     70,                0.76936,                0.58679,                0.99163,                0.97014,                0.98532,                0.99315,                0.84205,                0.64494,                0.55377,                0.94614,             0.00034038,             0.00034038,             0.00034038
                     71,                0.80196,                0.66745,                 1.0379,                0.93512,                0.98142,                0.99233,                0.85605,                 0.6216,                0.61458,                 0.9414,             0.00033625,             0.00033625,             0.00033625
                     72,                0.74536,                0.59854,                 1.0007,                0.97411,                0.98688,                 0.9925,                0.85116,                  0.624,                0.55619,                 0.9435,             0.00033213,             0.00033213,             0.00033213
                     73,                0.77423,                0.60768,                 1.0333,                 0.9881,                0.99028,                0.99435,                0.83287,                0.70588,                0.53347,                0.98516,               0.000328,               0.000328,               0.000328
                     74,                0.75392,                0.61352,                 1.0138,                 0.9895,                0.99651,                0.99408,                0.83824,                0.68223,                0.48746,                0.98541,             0.00032387,             0.00032387,             0.00032387
                     75,                0.76709,                0.58844,                 1.0045,                0.98704,                0.99359,                0.99412,                0.85833,                0.64063,                0.48172,                0.96221,             0.00031975,             0.00031975,             0.00031975
                     76,                0.76789,                0.58058,                 0.9932,                0.99003,                0.99414,                0.99426,                 0.8592,                0.63102,                0.48707,                0.95988,             0.00031562,             0.00031562,             0.00031562
                     77,                 0.7513,                0.56493,                0.98438,                0.99118,                0.98976,                0.99395,                0.84733,                 0.6535,                 0.4762,                0.96698,              0.0003115,              0.0003115,              0.0003115
                     78,                 0.7347,                0.60109,                 1.0068,                0.98576,                0.99125,                0.99355,                 0.8618,                0.61341,                0.51304,                0.94715,             0.00030738,             0.00030738,             0.00030738
                     79,                0.72862,                0.57134,                0.98112,                0.98382,                0.99101,                0.99331,                 0.8555,                0.62284,                0.52477,                0.95748,             0.00030325,             0.00030325,             0.00030325
                     80,                0.72298,                 0.5718,                0.98654,                0.97743,                0.99216,                0.99331,                0.85169,                 0.6263,                0.50307,                0.95175,             0.00029913,             0.00029913,             0.00029913
                     81,                0.76384,                0.61362,                 1.0252,                0.96464,                0.98167,                0.99204,                0.84724,                0.63698,                0.57439,                0.96047,               0.000295,               0.000295,               0.000295
                     82,                0.76873,                0.60407,                0.98502,                0.99008,                0.99547,                0.99455,                0.86284,                0.60497,                0.43746,                0.94261,             0.00029088,             0.00029088,             0.00029088
                     83,                0.74943,                0.55214,                0.98279,                0.98997,                0.99549,                0.99454,                0.83659,                0.67865,                0.45118,                0.95966,             0.00028675,             0.00028675,             0.00028675
                     84,                0.74282,                0.54372,                0.97196,                0.99014,                0.99257,                0.99455,                0.86115,                0.59939,                 0.4524,                0.93348,             0.00028262,             0.00028262,             0.00028262
                     85,                0.70098,                 0.5713,                0.96848,                0.99134,                0.99241,                0.99463,                0.85576,                0.63124,                0.47395,                0.94928,              0.0002785,              0.0002785,              0.0002785
                     86,                0.70225,                0.54402,                0.98137,                0.99115,                0.99043,                0.99416,                  0.862,                0.59607,                0.43641,                0.93141,             0.00027437,             0.00027437,             0.00027437
                     87,                0.69517,                0.53343,                0.95597,                0.99153,                0.98977,                  0.994,                0.86523,                0.59564,                0.44917,                0.92438,             0.00027025,             0.00027025,             0.00027025
                     88,                0.69255,                0.55056,                0.99482,                0.99371,                0.99001,                 0.9941,                0.86686,                0.58716,                 0.4286,                0.92264,             0.00026613,             0.00026613,             0.00026613
                     89,                0.66334,                 0.5353,                0.97551,                0.98548,                0.99259,                0.99435,                0.86799,                0.60321,                0.44595,                 0.9317,               0.000262,               0.000262,               0.000262
                     90,                 0.6865,                0.53745,                0.95253,                0.98722,                0.99206,                0.99442,                0.86146,                0.59662,                0.43916,                0.93812,             0.00025787,             0.00025787,             0.00025787
                     91,                0.67619,                0.55336,                0.95289,                 0.9889,                 0.9964,                0.99452,                0.85992,                0.60404,                0.42326,                0.94067,             0.00025375,             0.00025375,             0.00025375
                     92,                0.66542,                0.53188,                0.96984,                0.98892,                0.99564,                0.99433,                0.86589,                0.59914,                0.43273,                0.92971,             0.00024963,             0.00024963,             0.00024963
                     93,                 0.6731,                0.54277,                  0.952,                0.99022,                0.99607,                 0.9943,                0.85965,                0.59222,                0.43988,                0.92232,              0.0002455,              0.0002455,              0.0002455
                     94,                0.67405,                0.50286,                0.96725,                0.99533,                0.99071,                0.99374,                0.86506,                 0.5949,                0.41121,                0.92452,             0.00024137,             0.00024137,             0.00024137
                     95,                0.67693,                0.53271,                0.95904,                0.98978,                0.99206,                 0.9946,                 0.8668,                0.58152,                0.40858,                0.91817,             0.00023725,             0.00023725,             0.00023725
                     96,                0.68149,                0.52122,                0.97003,                0.98916,                0.99222,                0.99454,                0.86359,                0.59119,                0.40619,                0.91979,             0.00023313,             0.00023313,             0.00023313
                     97,                 0.6827,                0.49214,                0.94853,                0.99062,                0.99243,                 0.9944,                0.86882,                0.59796,                0.41991,                0.92292,               0.000229,               0.000229,               0.000229
                     98,                0.67548,                0.51328,                0.97895,                 0.9851,                0.99087,                0.99461,                0.86574,                 0.5994,                 0.4198,                0.92901,             0.00022488,             0.00022488,             0.00022488
                     99,                0.68192,                0.50681,                0.99831,                0.99086,                0.99398,                0.99473,                0.86375,                0.61973,                0.43346,                0.93877,             0.00022075,             0.00022075,             0.00022075
                    100,                0.67947,                0.49849,                0.97028,                0.99337,                0.99361,                0.99486,                0.86863,                0.60834,                0.42756,                0.93965,             0.00021662,             0.00021662,             0.00021662
                    101,                0.67293,                 0.4984,                0.93908,                0.99126,                0.99627,                0.99497,                 0.8579,                0.62172,                  0.419,                0.95454,              0.0002125,              0.0002125,              0.0002125
                    102,                0.70423,                0.52799,                0.98945,                0.98915,                0.99663,                0.99493,                0.87038,                 0.5895,                0.47416,                0.93629,             0.00020837,             0.00020837,             0.00020837
                    103,                0.72642,                0.56747,                0.96114,                0.98555,                0.99726,                0.99484,                0.87251,                0.57355,                0.42447,                 0.9202,             0.00020425,             0.00020425,             0.00020425
                    104,                0.67253,                0.49555,                0.94627,                0.99331,                0.99223,                0.99494,                0.86604,                0.58788,                0.39764,                0.92495,             0.00020013,             0.00020013,             0.00020013
                    105,                0.68426,                0.50597,                0.95525,                0.98936,                0.99263,                0.99461,                0.86627,                 0.6061,                0.41632,                0.92457,               0.000196,               0.000196,               0.000196
                    106,                0.66416,                0.49579,                0.97803,                0.98884,                0.99448,                0.99409,                0.86977,                0.58803,                0.42033,                0.91745,             0.00019188,             0.00019188,             0.00019188
                    107,                0.67776,                0.51831,                0.98897,                0.98873,                0.99404,                0.99454,                0.86946,                0.59544,                0.41263,                0.91605,             0.00018775,             0.00018775,             0.00018775
                    108,                0.65776,                 0.4826,                0.94597,                 0.9897,                0.99262,                0.99468,                0.87359,                0.59159,                 0.4008,                0.91724,             0.00018362,             0.00018362,             0.00018362
                    109,                0.62855,                0.48675,                0.94844,                   0.99,                0.99437,                0.99489,                0.87567,                0.58159,                0.38245,                0.91699,              0.0001795,              0.0001795,              0.0001795
                    110,                0.70255,                0.55456,                 1.0076,                 0.9942,                0.99253,                0.99493,                0.86826,                0.59256,                0.39117,                0.92277,             0.00017538,             0.00017538,             0.00017538
                    111,                0.65025,                0.47326,                0.95014,                0.99506,                0.99116,                0.99498,                0.87537,                0.58693,                0.40079,                0.91882,             0.00017125,             0.00017125,             0.00017125
                    112,                0.68014,                0.49765,                0.95837,                0.99454,                0.99343,                  0.995,                0.87891,                0.57804,                0.40956,                0.91719,             0.00016713,             0.00016713,             0.00016713
                    113,                0.64323,                0.48007,                0.94534,                0.99437,                0.99426,                  0.995,                0.87726,                0.57177,                0.37059,                0.91513,               0.000163,               0.000163,               0.000163
                    114,                0.65954,                0.47175,                0.96746,                 0.9928,                0.99812,                  0.995,                0.87731,                0.57194,                0.36527,                0.91297,             0.00015888,             0.00015888,             0.00015888
                    115,                0.65898,                0.47087,                0.95046,                0.99579,                0.99596,                  0.995,                0.87093,                0.58836,                 0.3892,                0.91916,             0.00015475,             0.00015475,             0.00015475
                    116,                0.66331,                0.49422,                0.96543,                0.99375,                  0.996,                0.99495,                0.86486,                0.59117,                0.38873,                0.91759,             0.00015062,             0.00015062,             0.00015062
                    117,                0.65541,                0.47055,                0.96146,                0.99372,                0.99533,                0.99487,                0.87788,                0.56184,                0.36185,                0.90547,              0.0001465,              0.0001465,              0.0001465
                    118,                0.64442,                0.45283,                0.92546,                0.99372,                0.99145,                0.99491,                0.87641,                0.56352,                0.36495,                0.90573,             0.00014237,             0.00014237,             0.00014237
                    119,                0.62171,                0.44534,                0.93859,                0.99001,                0.99275,                0.99491,                0.87813,                0.56172,                0.37302,                0.90633,             0.00013825,             0.00013825,             0.00013825
