                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87668,                 1.0716,                 1.1813,                0.86955,                0.85602,                0.94643,                0.77098,                0.76916,                0.83683,                 1.1511,             0.00016064,             0.00016064,             0.00016064
                     36,                0.90069,                 1.0904,                 1.2121,                0.84837,                0.89084,                0.94506,                0.76226,                0.79782,                0.88378,                 1.1576,             0.00015969,             0.00015969,             0.00015969
                     37,                0.87035,                 1.0417,                    1.2,                0.75411,                0.87311,                0.92466,                0.74365,                0.76648,                0.97462,                 1.1572,             0.00015874,             0.00015874,             0.00015874
                     38,                0.89666,                 1.0582,                 1.2049,                0.78901,                0.82334,                0.91648,                0.72108,                0.80724,                0.91122,                 1.1867,             0.00015779,             0.00015779,             0.00015779
                     39,                0.89052,                 1.0486,                 1.1905,                0.79959,                0.92413,                0.94199,                0.74438,                0.80258,                0.86932,                 1.1603,             0.00015684,             0.00015684,             0.00015684
                     40,                0.89367,                0.97802,                 1.1775,                0.91771,                0.92835,                0.97041,                0.77998,                 0.7827,                0.69314,                  1.147,             0.00015588,             0.00015588,             0.00015588
                     41,                0.87406,                0.95984,                 1.1687,                 0.8854,                0.92384,                0.96325,                0.77895,                0.80091,                0.75325,                   1.14,             0.00015493,             0.00015493,             0.00015493
                     42,                0.90889,                0.98509,                 1.1795,                0.92622,                0.91956,                0.97374,                0.78896,                0.76323,                0.72225,                 1.1287,             0.00015398,             0.00015398,             0.00015398
                     43,                0.85562,                0.91547,                 1.1509,                 0.9017,                  0.935,                0.96713,                0.78306,                0.77588,                0.69922,                 1.1333,             0.00015303,             0.00015303,             0.00015303
                     44,                0.87255,                 0.9263,                 1.1855,                0.91709,                0.93158,                0.97309,                0.79227,                0.75913,                0.66972,                 1.1237,             0.00015208,             0.00015208,             0.00015208
                     45,                0.82715,                0.91489,                 1.1504,                0.91886,                0.93017,                0.97803,                0.80615,                0.74489,                0.66858,                 1.1134,             0.00015113,             0.00015113,             0.00015113
                     46,                0.87431,                 0.9296,                 1.1448,                0.90406,                0.93313,                0.97797,                0.79808,                0.75327,                0.66948,                 1.1296,             0.00015018,             0.00015018,             0.00015018
                     47,                0.85118,                0.89349,                 1.1441,                0.90106,                0.91523,                0.97377,                0.80365,                0.73175,                0.67823,                 1.1011,             0.00014923,             0.00014923,             0.00014923
                     48,                0.83722,                0.85207,                 1.1215,                0.91696,                   0.93,                0.97868,                0.80249,                0.75661,                0.65499,                 1.1172,             0.00014828,             0.00014828,             0.00014828
                     49,                0.82841,                0.81037,                 1.1244,                0.86754,                0.91487,                0.97257,                0.80288,                0.74215,                0.69316,                  1.091,             0.00014733,             0.00014733,             0.00014733
                     50,                0.83758,                0.82277,                 1.1186,                 0.8798,                 0.9204,                0.97312,                0.79642,                0.76333,                0.70316,                 1.1105,             0.00014638,             0.00014638,             0.00014638
                     51,                0.85126,                0.84968,                 1.1462,                0.92937,                0.93665,                0.97853,                0.80961,                0.72509,                 0.6295,                 1.0952,             0.00014543,             0.00014543,             0.00014543
                     52,                0.81627,                0.80728,                 1.1055,                0.86136,                0.94092,                0.96779,                0.79284,                0.72942,                0.71765,                 1.0958,             0.00014448,             0.00014448,             0.00014448
                     53,                0.80741,                0.78543,                 1.0968,                0.85083,                0.94591,                0.97858,                0.80866,                0.73382,                 0.6771,                 1.0963,             0.00014353,             0.00014353,             0.00014353
                     54,                0.81911,                0.79517,                 1.1102,                0.90611,                0.93049,                 0.9793,                0.81763,                0.69608,                0.61074,                  1.077,             0.00014258,             0.00014258,             0.00014258
                     55,                0.81061,                 0.8197,                 1.1034,                0.94888,                0.95936,                0.98411,                0.81086,                0.71972,                0.57994,                 1.0834,             0.00014163,             0.00014163,             0.00014163
                     56,                0.80832,                0.80234,                 1.1047,                0.94594,                0.96598,                0.98223,                0.81642,                0.71396,                0.57446,                 1.0798,             0.00014068,             0.00014068,             0.00014068
                     57,                0.78987,                0.74937,                 1.0798,                0.89473,                0.91067,                0.96946,                0.80691,                 0.7239,                0.67171,                  1.081,             0.00013973,             0.00013973,             0.00013973
                     58,                0.82081,                0.81312,                 1.1092,                0.95634,                0.96997,                0.98567,                 0.8249,                0.70583,                0.55183,                 1.0711,             0.00013878,             0.00013878,             0.00013878
                     59,                0.79807,                0.74031,                 1.1131,                0.95756,                0.96539,                0.98843,                0.82388,                0.70014,                0.54223,                 1.0688,             0.00013783,             0.00013783,             0.00013783
                     60,                0.82607,                0.75269,                 1.0968,                0.94076,                0.95933,                0.98227,                0.82069,                0.70253,                0.56113,                 1.0638,             0.00013688,             0.00013688,             0.00013688
                     61,                 0.7996,                 0.7572,                 1.0897,                0.95413,                0.97062,                0.98648,                0.80969,                 0.7294,                0.54807,                 1.0904,             0.00013593,             0.00013593,             0.00013593
                     62,                0.82559,                0.77964,                 1.1146,                0.95471,                0.97165,                0.98765,                0.82224,                0.71138,                0.54052,                 1.0699,             0.00013498,             0.00013498,             0.00013498
                     63,                0.79518,                0.71883,                 1.0735,                0.94852,                0.97232,                0.98527,                0.82429,                0.70439,                 0.5504,                 1.0609,             0.00013403,             0.00013403,             0.00013403
                     64,                0.80902,                0.74251,                 1.0943,                0.94001,                0.95835,                0.98739,                0.82866,                0.68937,                0.54803,                  1.059,             0.00013308,             0.00013308,             0.00013308
                     65,                0.78676,                0.75055,                 1.0928,                0.95546,                0.96104,                0.98757,                0.83016,                0.68738,                0.57393,                 1.0556,             0.00013212,             0.00013212,             0.00013212
                     66,                0.81211,                 0.7316,                 1.0885,                0.94859,                0.96617,                 0.9883,                0.82652,                0.69994,                0.54375,                 1.0597,             0.00013117,             0.00013117,             0.00013117
                     67,                0.80012,                0.72263,                 1.0799,                 0.9328,                0.96087,                0.98475,                0.83087,                0.67808,                0.54932,                 1.0489,             0.00013022,             0.00013022,             0.00013022
                     68,                0.79726,                 0.6953,                 1.0824,                 0.9439,                0.97073,                0.98612,                0.83274,                0.67975,                0.54221,                 1.0482,             0.00012927,             0.00012927,             0.00012927
                     69,                0.78826,                0.74027,                 1.0929,                0.95353,                0.95884,                0.98776,                 0.8339,                0.66853,                 0.5297,                 1.0494,             0.00012832,             0.00012832,             0.00012832
                     70,                0.78916,                0.70457,                 1.0785,                0.94998,                0.96195,                0.98779,                0.82412,                0.70514,                0.53713,                 1.0647,             0.00012737,             0.00012737,             0.00012737
                     71,                0.78001,                0.69978,                 1.0847,                 0.9609,                 0.9842,                0.98862,                0.82262,                0.71513,                0.50254,                 1.0684,             0.00012642,             0.00012642,             0.00012642
                     72,                0.77626,                0.66088,                 1.0678,                0.96603,                0.98465,                0.98958,                0.83235,                0.68026,                0.48416,                 1.0517,             0.00012547,             0.00012547,             0.00012547
                     73,                0.77011,                0.66227,                 1.0817,                0.96425,                0.97913,                0.99036,                0.83821,                0.66717,                0.47849,                 1.0385,             0.00012452,             0.00012452,             0.00012452
                     74,                0.75542,                0.66358,                 1.0613,                0.96858,                0.97875,                0.99001,                0.83277,                0.69917,                0.49447,                 1.0547,             0.00012357,             0.00012357,             0.00012357
                     75,                0.75707,                0.67347,                 1.0751,                0.95705,                0.98638,                0.99077,                0.83571,                0.66831,                 0.4815,                 1.0466,             0.00012262,             0.00012262,             0.00012262
                     76,                0.74949,                0.67272,                 1.0481,                0.95056,                 0.9786,                0.99043,                0.83584,                0.67394,                0.50814,                 1.0372,             0.00012167,             0.00012167,             0.00012167
                     77,                0.77824,                0.70085,                  1.079,                0.97771,                0.98356,                0.99212,                0.84204,                0.65914,                0.48621,                 1.0295,             0.00012072,             0.00012072,             0.00012072
                     78,                0.76007,                0.67756,                 1.0555,                0.94556,                0.96278,                0.98837,                0.83261,                0.67973,                0.49746,                 1.0452,             0.00011977,             0.00011977,             0.00011977
                     79,                0.78264,                0.70464,                 1.0881,                 0.9406,                0.95918,                0.98749,                 0.8334,                0.66686,                0.55437,                  1.042,             0.00011882,             0.00011882,             0.00011882
                     80,                0.75337,                0.69212,                 1.0688,                0.95647,                  0.975,                0.98927,                0.83908,                0.65478,                 0.4799,                 1.0463,             0.00011787,             0.00011787,             0.00011787
                     81,                0.74379,                0.69414,                  1.058,                0.95909,                0.98134,                0.98786,                0.84059,                0.65445,                 0.4915,                 1.0389,             0.00011692,             0.00011692,             0.00011692
